Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__ArmouredDurable__AND__FireControlMultiWeapon__AND__KW_Frenzy(1),interaction,-0.006802367270388757,,,,,,,,ArmouredDurable | FireControlMultiWeapon | KW_Frenzy(1),3,3,0.006802367270388757
INT__ArmouredDurable__AND__FireControlMultiWeapon__AND__KW_Walker,interaction,0.10291194936887899,,,,,,,,ArmouredDurable | FireControlMultiWeapon | KW_Walker,3,6,0.10291194936887899
INT__ArmouredDurable__AND__FireControlMultiWeapon__AND__RoleHeavySupport,interaction,0.08620654077753087,,,,,,,,ArmouredDurable | FireControlMultiWeapon | RoleHeavySupport,3,5,0.08620654077753087
INT__ArmouredDurable__AND__FireControlMultiWeapon__AND__SecretMissionTarget,interaction,0.10291194936887899,,,,,,,,ArmouredDurable | FireControlMultiWeapon | SecretMissionTarget,3,6,0.10291194936887899
INT__ArmouredDurable__AND__FireControlRapidWeight__AND__KW_Fire Control,interaction,0.02415313623208639,,,,,,,,ArmouredDurable | FireControlRapidWeight | KW_Fire Control,3,8,0.02415313623208639
INT__ArmouredDurable__AND__FireControlRapidWeight__AND__KW_Walker,interaction,0.02415313623208639,,,,,,,,ArmouredDurable | FireControlRapidWeight | KW_Walker,3,8,0.02415313623208639
INT__ArmouredDurable__AND__FireControlRapidWeight__AND__KW_Weight of Fire(1),interaction,0.0814686189946012,,,,,,,,ArmouredDurable | FireControlRapidWeight | KW_Weight of Fire(1),3,3,0.0814686189946012
INT__ArmouredDurable__AND__FireControlRapidWeight__AND__KW_Weight of Fire(2),interaction,-0.05731548276251427,,,,,,,,ArmouredDurable | FireControlRapidWeight | KW_Weight of Fire(2),3,5,0.05731548276251427
INT__ArmouredDurable__AND__FireControlSuppression__AND__KW_Fire Control,interaction,0.0007143221783499547,,,,,,,,ArmouredDurable | FireControlSuppression | KW_Fire Control,3,8,0.0007143221783499547
INT__ArmouredDurable__AND__FireControlSuppression__AND__KW_Walker,interaction,0.0007143221783499547,,,,,,,,ArmouredDurable | FireControlSuppression | KW_Walker,3,8,0.0007143221783499547
INT__ArmouredDurable__AND__FireControlSuppression__AND__KW_Weight of Fire(2),interaction,-0.05731548276251427,,,,,,,,ArmouredDurable | FireControlSuppression | KW_Weight of Fire(2),3,5,0.05731548276251427
INT__ArmouredDurable__AND__HasFireControl__AND__KW_BOOM!(4),interaction,-0.10978713632336141,,,,,,,,ArmouredDurable | HasFireControl | KW_BOOM!(4),3,3,0.10978713632336141
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Defender Shield,interaction,0.003941674984605431,,,,,,,,ArmouredDurable | HasFireControl | KW_Defender Shield,3,3,0.003941674984605431
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Explosive,interaction,0.04933568208066737,,,,,,,,ArmouredDurable | HasFireControl | KW_Explosive,3,3,0.04933568208066737
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Fire Control,interaction,0.12369459695143259,,,,,,,,ArmouredDurable | HasFireControl | KW_Fire Control,3,28,0.12369459695143259
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Firing Platform(1),interaction,0.04126819942508857,,,,,,,,ArmouredDurable | HasFireControl | KW_Firing Platform(1),3,8,0.04126819942508857
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Frag(3),interaction,0.039479396780341174,,,,,,,,ArmouredDurable | HasFireControl | KW_Frag(3),3,4,0.039479396780341174
